date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:05:36	185474/185474	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222d482-52b7c2b4da080%22	http://max-agency.com/template/std/fonts/ProximaNova/ProximaNovaRegular.eot?	D:/studiolabs/max-agency.com/template/std/fonts/ProximaNova/ProximaNovaRegulard41d.eot	(from http://max-agency.com/template/std/css/all.css?v=2.0.55)
13:05:37	155586/155586	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2225fc2-52b7c2b6c2500%22	http://max-agency.com/template/std/fonts/ProximaNova/ProximaNovaBold.eot	D:/studiolabs/max-agency.com/template/std/fonts/ProximaNova/ProximaNovaBold.eot	(from http://max-agency.com/template/std/css/all.css?v=2.0.55)
13:05:50	78880/78880	---M--	200	added ('OK')	application/x-font-woff	etag:%2213420-52b7c2b4da080%22	http://max-agency.com/template/std/fonts/ProximaNova/ProximaNovaBold.woff	D:/studiolabs/max-agency.com/template/std/fonts/ProximaNova/ProximaNovaBold.woff	(from http://max-agency.com/template/std/css/all.css?v=2.0.55)
13:05:53	155352/155352	---M--	200	added ('OK')	text/html	etag:%2225ed8-52b7c2b5ce2c0%22	http://max-agency.com/template/std/fonts/ProximaNova/ProximaNovaBold.ttf	D:/studiolabs/max-agency.com/template/std/fonts/ProximaNova/ProximaNovaBold.html	(from http://max-agency.com/template/std/css/all.css?v=2.0.55)
13:06:05	155586/155586	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2225fc2-52b7c2b6c2500%22	http://max-agency.com/template/std/fonts/ProximaNova/ProximaNovaBold.eot?	D:/studiolabs/max-agency.com/template/std/fonts/ProximaNova/ProximaNovaBoldd41d.eot	(from http://max-agency.com/template/std/css/all.css?v=2.0.55)
13:06:15	57304/57304	---M--	200	added ('OK')	application/x-font-woff	etag:%22dfd8-52b7c2b99ebc0%22	http://max-agency.com/template/std/fonts/ProximaNova/SemiBold1/ProximaNovaSemibold.woff	D:/studiolabs/max-agency.com/template/std/fonts/ProximaNova/SemiBold1/ProximaNovaSemibold.woff	(from http://max-agency.com/template/std/css/all.css?v=2.0.55)
13:06:15	130818/130818	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221ff02-52b7c2b99ebc0%22	http://max-agency.com/template/std/fonts/ProximaNova/SemiBold1/ProximaNovaSemibold.eot	D:/studiolabs/max-agency.com/template/std/fonts/ProximaNova/SemiBold1/ProximaNovaSemibold.eot	(from http://max-agency.com/template/std/css/all.css?v=2.0.55)
13:06:16	43456/43456	---M--	200	added ('OK')	text/html	etag:%22a9c0-52b7c2b99ebc0%22	http://max-agency.com/template/std/fonts/ProximaNova/SemiBold1/proximanova-semibold-webfont.ttf	D:/studiolabs/max-agency.com/template/std/fonts/ProximaNova/SemiBold1/proximanova-semibold-webfont.html	(from http://max-agency.com/template/std/css/all.css?v=2.0.55)
13:06:37	130818/130818	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221ff02-52b7c2b99ebc0%22	http://max-agency.com/template/std/fonts/ProximaNova/SemiBold1/ProximaNovaSemibold.eot?	D:/studiolabs/max-agency.com/template/std/fonts/ProximaNova/SemiBold1/ProximaNovaSemiboldd41d.eot	(from http://max-agency.com/template/std/css/all.css?v=2.0.55)
13:06:41	148150/148150	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22242b6-52b7c2b5ce2c0%22	http://max-agency.com/template/std/fonts/ProximaNova/ProximaNovaBlack.eot	D:/studiolabs/max-agency.com/template/std/fonts/ProximaNova/ProximaNovaBlack.eot	(from http://max-agency.com/template/std/css/all.css?v=2.0.55)
